MIXTURE_FRACTION, PROGRESS VARIABLE, TEMPERATURE, Cp, MMW, rho, mu, TC, net_rxn-H2, net_rxn-H, net_rxn-O, net_rxn-O2, net_rxn-OH, net_rxn-HO2, net_rxn-H2O, net_rxn-H2O2, massfraction-H2, massfraction-H, massfraction-O, massfraction-O2, massfraction-OH, massfraction-HO2, massfraction-H2O, massfraction-H2O2, PREMIX_CDOT, 
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786110,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000001,14324.786110,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000005,14324.786130,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000029,14324.786210,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000162,14324.786620,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000862,14324.788470,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000001,300.004334,14324.796470,2.015879,0.081888,0.000009,0.186830,0.000002,-0.000002,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.999999,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,
1.000000,0.000003,300.020547,14324.828430,2.015875,0.081883,0.000009,0.186838,0.000021,-0.000021,-0.000000,-0.000000,-0.000001,0.000000,0.000001,-0.000000,0.999997,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000021,
0.999997,0.000013,300.091468,14324.942400,2.015866,0.081864,0.000009,0.186872,0.000272,-0.000272,-0.000000,-0.000000,-0.000004,0.000000,0.000004,-0.000000,0.999987,0.000010,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,-0.000272,
0.999980,0.000056,300.380301,14325.274960,2.015852,0.081784,0.000009,0.187009,0.003045,-0.003047,-0.000001,-0.000004,-0.000027,0.000000,0.000034,0.000000,0.999944,0.000034,0.000000,0.000000,0.000000,0.000000,0.000022,0.000000,-0.003040,
0.999875,0.000246,301.466043,14325.841490,2.015919,0.081492,0.000009,0.187519,0.029571,-0.029593,-0.000009,-0.000089,-0.000164,0.000001,0.000283,0.000000,0.999754,0.000106,0.000000,0.000000,0.000000,0.000000,0.000140,0.000000,-0.029482,
0.999296,0.001100,305.180228,14324.348690,2.016680,0.080531,0.000009,0.189223,0.241277,-0.241525,-0.000118,-0.001487,-0.000813,0.000021,0.002646,0.000000,0.998899,0.000308,0.000000,0.000001,0.000000,0.000000,0.000792,0.000000,-0.239790,
0.996509,0.004746,316.443989,14304.251350,2.021274,0.077841,0.000009,0.194183,1.544023,-1.546724,-0.001227,-0.018965,-0.002979,0.000218,0.025653,0.000000,0.995249,0.000822,0.000000,0.000005,0.000000,0.000000,0.003924,0.000000,-1.525059,
0.985512,0.018263,345.394567,14194.146410,2.041414,0.072027,0.000010,0.205947,6.879131,-6.901198,-0.009016,-0.163763,-0.007082,0.001333,0.200590,0.000005,0.981713,0.001978,0.000001,0.000025,0.000002,0.000000,0.016282,0.000000,-6.715368,
0.952422,0.057624,405.276640,13804.567860,2.107339,0.063367,0.000011,0.227212,18.983363,-19.095678,-0.043053,-0.852279,0.001317,0.004526,1.001779,0.000025,0.942272,0.004170,0.000003,0.000104,0.000006,0.000001,0.053444,0.000000,-18.131085,
0.880154,0.141985,503.555544,12874.998020,2.271119,0.054964,0.000013,0.256673,32.360526,-32.706988,-0.140560,-2.635984,0.044076,0.008307,3.070595,0.000028,0.857663,0.007437,0.000009,0.000352,0.000015,0.000002,0.134522,0.000000,-29.724541,
0.765733,0.273726,637.323140,11343.229810,2.595261,0.049625,0.000016,0.290808,38.387122,-39.130419,-0.407351,-5.351089,-0.312753,0.008612,6.805945,-0.000066,0.725374,0.010960,0.000024,0.000900,0.000023,0.000004,0.262715,0.000000,-33.036032,
0.629607,0.428623,798.385159,9527.543972,3.133885,0.047836,0.000020,0.326470,36.248356,-37.704030,-1.254328,-8.411187,-4.021757,0.005781,15.137601,-0.000436,0.569640,0.013527,0.000052,0.001737,0.000041,0.000005,0.414999,0.000000,-27.837169,
0.500155,0.574424,978.986516,7886.937630,3.914435,0.048728,0.000026,0.361113,27.862600,-31.546215,-4.070201,-13.750015,-24.268355,0.001068,45.773662,-0.002545,0.422895,0.014640,0.000103,0.002681,0.000154,0.000005,0.559521,0.000000,-14.112585,
0.394264,0.692555,1173.640794,6610.480494,4.926168,0.051151,0.000032,0.392926,9.146837,-20.623417,-14.349529,-31.465210,-96.216162,-0.011306,153.531666,-0.012880,0.303811,0.014658,0.000210,0.003634,0.000690,0.000005,0.676992,0.000000,22.318373,
0.314575,0.780263,1377.890144,5640.795840,6.122956,0.054154,0.000040,0.420719,-34.353508,0.522977,-49.140468,-87.291844,-280.666710,-0.042004,451.020117,-0.048559,0.214888,0.014145,0.000488,0.004849,0.002463,0.000005,0.763162,0.000000,121.645352,
0.256329,0.842251,1586.820164,4927.386151,7.444271,0.057171,0.000048,0.443367,-128.597438,42.408597,-146.214321,-240.210206,-632.470382,-0.107023,1105.313291,-0.122518,0.150644,0.013450,0.001247,0.007104,0.006971,0.000006,0.820576,0.000001,368.807644,
0.213409,0.883450,1791.649825,4394.164672,8.833164,0.060082,0.000056,0.458830,-300.033738,113.831663,-355.746114,-613.823788,-1080.020852,-0.221877,2236.203619,-0.188914,0.104503,0.012683,0.003187,0.012047,0.016282,0.000008,0.851286,0.000004,913.857525,
0.180820,0.905293,1981.568065,3977.208690,10.234810,0.062944,0.000063,0.465067,-539.960795,204.724146,-667.621742,-1381.871834,-1298.593913,-0.378846,3683.876295,-0.173309,0.071568,0.011820,0.007565,0.023139,0.032260,0.000012,0.853628,0.000008,1921.832630,
