MIXTURE_FRACTION, PROGRESS VARIABLE, TEMPERATURE, Cp, MMW, rho, mu, TC, net_rxn-H2, net_rxn-H, net_rxn-O, net_rxn-O2, net_rxn-OH, net_rxn-HO2, net_rxn-H2O, net_rxn-H2O2, massfraction-H2, massfraction-H, massfraction-O, massfraction-O2, massfraction-OH, massfraction-HO2, massfraction-H2O, massfraction-H2O2, PREMIX_CDOT, 
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786110,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000000,14324.786110,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000002,14324.786110,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000009,14324.786130,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000038,14324.786190,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000157,14324.786420,2.015880,0.081889,0.000009,0.186828,-0.000000,0.000000,-0.000000,-0.000000,-0.000001,0.000000,0.000001,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.000000,300.000614,14324.787200,2.015880,0.081889,0.000009,0.186828,-0.000001,0.000000,-0.000000,-0.000000,-0.000007,0.000000,0.000008,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,
1.000000,0.000000,300.002312,14324.789640,2.015880,0.081888,0.000009,0.186829,-0.000004,0.000002,-0.000000,-0.000000,-0.000038,0.000000,0.000041,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,
1.000000,0.000001,300.008322,14324.796220,2.015880,0.081887,0.000009,0.186832,-0.000022,0.000011,-0.000000,-0.000000,-0.000195,0.000000,0.000206,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,
0.999998,0.000003,300.028593,14324.808370,2.015881,0.081881,0.000009,0.186841,-0.000106,0.000050,-0.000000,-0.000006,-0.000937,0.000001,0.000999,0.000000,0.999996,0.000001,0.000000,0.000001,0.000000,0.000000,0.000001,0.000000,0.000113,
0.999989,0.000010,300.093490,14324.799080,2.015894,0.081864,0.000009,0.186871,-0.000475,0.000211,-0.000003,-0.000088,-0.004278,0.000020,0.004613,0.000000,0.999985,0.000004,0.000000,0.000005,0.000000,0.000000,0.000006,0.000000,0.000563,
0.999948,0.000042,300.289959,14324.548210,2.015964,0.081813,0.000009,0.186961,-0.001981,0.000770,-0.000030,-0.001140,-0.018326,0.000249,0.020452,0.000006,0.999935,0.000009,0.000000,0.000023,0.000001,0.000000,0.000031,0.000000,0.003121,
0.999759,0.000170,300.849837,14322.862880,2.016306,0.081675,0.000009,0.187213,-0.007692,0.002010,-0.000279,-0.012934,-0.072123,0.002738,0.088185,0.000095,0.999721,0.000022,0.000001,0.000109,0.000006,0.000002,0.000139,0.000000,0.020626,
0.998975,0.000665,302.342920,14314.459180,2.017780,0.081331,0.000009,0.187863,-0.027797,-0.000749,-0.002479,-0.126495,-0.248015,0.025349,0.378832,0.001354,0.998857,0.000051,0.000003,0.000478,0.000023,0.000007,0.000579,0.000001,0.154292,
0.996007,0.002443,306.038675,14279.443630,2.023475,0.080576,0.000009,0.189392,-0.094875,-0.058608,-0.020063,-1.033089,-0.657643,0.188242,1.660157,0.015879,0.995643,0.000112,0.000010,0.001914,0.000080,0.000029,0.002207,0.000006,1.127964,
0.986041,0.008159,314.427560,14155.176710,2.043007,0.079183,0.000009,0.192590,-0.321172,-0.488736,-0.138120,-6.711256,-0.851032,1.038458,7.330192,0.141665,0.984954,0.000225,0.000030,0.006887,0.000252,0.000098,0.007535,0.000019,7.032427,
0.957552,0.023773,331.591357,13787.951420,2.101216,0.077224,0.000010,0.198312,-1.156839,-2.513158,-0.742215,-32.666134,2.271726,3.866647,30.087929,0.852044,0.954593,0.000414,0.000078,0.021634,0.000676,0.000278,0.022268,0.000057,33.822973,
0.892373,0.057476,362.599079,12930.319880,2.247928,0.075551,0.000011,0.206726,-4.346468,-8.439234,-2.880503,-113.857767,15.445951,9.043143,102.012363,3.022516,0.885493,0.000679,0.000182,0.057031,0.001457,0.000623,0.054407,0.000129,118.204236,
0.780499,0.110518,411.295265,11439.423250,2.553773,0.075668,0.000012,0.216748,-14.554481,-18.288427,-7.920088,-284.475527,40.614779,13.617333,265.209067,5.797344,0.767531,0.000973,0.000357,0.121951,0.002382,0.001068,0.105534,0.000205,299.030008,
0.639653,0.168327,477.943283,9549.746930,3.080013,0.078534,0.000014,0.226898,-37.530830,-26.363135,-16.425309,-533.786940,61.545758,15.633919,530.995797,5.930739,0.620075,0.001228,0.000596,0.211597,0.002933,0.001425,0.161921,0.000225,571.317770,
0.502509,0.211779,559.300400,7708.516574,3.848653,0.083858,0.000018,0.236367,-71.853120,-27.610532,-28.867177,-800.407156,55.850154,16.576021,853.036900,3.274910,0.477953,0.001404,0.000876,0.310269,0.002875,0.001576,0.204865,0.000184,872.260276,
0.388624,0.233573,650.412526,6189.478372,4.846187,0.090802,0.000022,0.244632,-107.947491,-23.373400,-47.487995,-1019.587122,26.201026,16.777198,1154.779771,0.638014,0.361550,0.001499,0.001189,0.404876,0.002460,0.001542,0.226760,0.000123,1127.534613,
0.301031,0.237649,745.975701,5037.686279,6.040558,0.098681,0.000026,0.250994,-140.317255,-16.331246,-74.225117,-1174.455911,-11.679864,15.480609,1402.273946,-0.745163,0.273471,0.001537,0.001550,0.488879,0.002020,0.001404,0.231062,0.000075,1314.773166,
0.235173,0.231390,841.030462,4188.459598,7.400507,0.107234,0.000030,0.254627,-175.222324,-6.077113,-105.126511,-1318.387621,-50.994581,12.550120,1644.408069,-1.150039,0.208332,0.001537,0.001988,0.560278,0.001732,0.001233,0.224855,0.000045,1493.609945,
0.185541,0.220217,930.923842,3560.177879,8.898278,0.116486,0.000035,0.254853,-227.241699,10.314915,-128.453023,-1558.568636,-87.420031,9.582098,1982.859950,-1.073574,0.160012,0.001514,0.002519,0.619771,0.001645,0.001068,0.213444,0.000027,1785.810335,
0.147732,0.206909,1011.900940,3085.678968,10.505152,0.126516,0.000039,0.251438,-311.117627,36.175783,-128.808214,-2005.455288,-111.527181,6.877704,2514.715176,-0.860352,0.123793,0.001470,0.003132,0.669298,0.001757,0.000926,0.199604,0.000019,2316.572915,
