MIXTURE_FRACTION, PROGRESS VARIABLE, TEMPERATURE, Cp, MMW, rho, mu, TC, net_rxn-H2, net_rxn-H, net_rxn-O, net_rxn-O2, net_rxn-OH, net_rxn-HO2, net_rxn-H2O, net_rxn-H2O2, massfraction-H2, massfraction-H, massfraction-O, massfraction-O2, massfraction-OH, massfraction-HO2, massfraction-H2O, massfraction-H2O2, PREMIX_CDOT, 
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,-0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786100,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000000,14324.786110,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000003,14324.786110,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000019,14324.786130,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000109,14324.786260,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.000588,14324.786900,2.015880,0.081889,0.000009,0.186828,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.003013,14324.789970,2.015880,0.081888,0.000009,0.186829,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
1.000000,0.000000,300.014577,14324.802980,2.015881,0.081885,0.000009,0.186834,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,
0.999998,0.000003,300.066260,14324.849160,2.015885,0.081871,0.000009,0.186858,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000000,-0.000000,
0.999983,0.000019,300.281555,14324.960330,2.015914,0.081814,0.000009,0.186958,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.999981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.000000,-0.000000,
0.999891,0.000123,301.111649,14324.884020,2.016099,0.081596,0.000009,0.187337,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.999877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000123,0.000000,-0.000000,
0.999368,0.000712,304.044222,14321.799840,2.017153,0.080851,0.000009,0.188651,0.000001,-0.000001,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.999288,0.000001,0.000000,0.000000,0.000000,0.000000,0.000712,0.000000,-0.000001,
0.996765,0.003645,313.379877,14298.464580,2.022418,0.078647,0.000009,0.192681,0.000011,-0.000011,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.996355,0.000002,0.000000,0.000000,0.000000,0.000000,0.003643,0.000000,-0.000011,
0.986064,0.015698,339.402001,14182.234370,2.044358,0.073405,0.000010,0.203080,0.000069,-0.000069,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.984302,0.000006,0.000000,0.000000,0.000000,0.000000,0.015692,0.000000,-0.000069,
0.952840,0.053119,400.443392,13780.282380,2.115614,0.064384,0.000011,0.224412,0.000353,-0.000353,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.946881,0.000017,0.000000,0.000000,0.000000,0.000000,0.053101,0.000000,-0.000353,
0.880752,0.134322,517.243185,12845.940570,2.288688,0.053923,0.000013,0.259084,0.001336,-0.001336,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.865678,0.000050,0.000000,0.000000,0.000000,0.000000,0.134273,0.000000,-0.001336,
0.771503,0.257413,699.332602,11388.424670,2.612499,0.045526,0.000017,0.306964,0.003616,-0.003616,-0.000000,-0.000000,-0.000010,-0.000000,0.000011,-0.000000,0.742587,0.000126,0.000000,0.000000,0.000000,0.000000,0.257287,0.000000,-0.003616,
0.647413,0.397280,937.962098,9839.761352,3.112455,0.040439,0.000023,0.365413,0.007449,-0.007464,-0.000000,-0.000000,-0.000248,-0.000000,0.000263,-0.000000,0.602720,0.000268,0.000000,0.000000,0.000001,0.000000,0.397011,0.000000,-0.007449,
0.531851,0.527616,1215.160211,8597.076217,3.786875,0.037978,0.000030,0.428762,0.013022,-0.013164,-0.000008,-0.000001,-0.002384,-0.000000,0.002536,-0.000000,0.472384,0.000482,0.000000,0.000000,0.000011,0.000000,0.527123,0.000000,-0.013020,
0.436283,0.635504,1515.088553,7542.029627,4.612423,0.037100,0.000038,0.490936,0.021419,-0.022180,-0.000077,-0.000015,-0.012645,-0.000000,0.013498,-0.000000,0.364495,0.000766,0.000000,0.000000,0.000090,0.000000,0.634648,0.000000,-0.021403,
0.361715,0.719816,1824.092073,6684.844165,5.555268,0.037114,0.000047,0.546764,0.036435,-0.039291,-0.000550,-0.000148,-0.046703,-0.000000,0.050258,-0.000000,0.280183,0.001136,0.000002,0.000001,0.000444,0.000000,0.718234,0.000000,-0.036287,
0.304648,0.784511,2126.645850,5995.288466,6.579398,0.037703,0.000056,0.591882,0.064738,-0.073586,-0.003346,-0.001215,-0.139591,-0.000002,0.153003,-0.000001,0.215484,0.001648,0.000014,0.000005,0.001598,0.000000,0.781251,0.000000,-0.063523,
0.260574,0.834686,2393.998619,5423.712022,7.656522,0.038975,0.000065,0.620434,0.084468,-0.107020,-0.016504,-0.008228,-0.327924,-0.000012,0.375223,-0.000003,0.165278,0.002424,0.000077,0.000037,0.004707,0.000000,0.827477,0.000000,-0.076240,
0.225689,0.874389,2596.681723,4932.039381,8.766471,0.041142,0.000073,0.628644,0.024197,-0.069441,-0.056608,-0.040555,-0.556747,-0.000055,0.699218,-0.000010,0.125385,0.003511,0.000358,0.000226,0.011717,0.000000,0.858803,0.000000,0.016357,
0.197226,0.905685,2741.014500,4504.195888,9.905369,0.044039,0.000079,0.620525,-0.096019,0.013141,-0.143976,-0.153910,-0.764825,-0.000185,1.145796,-0.000022,0.093207,0.004615,0.001291,0.001107,0.024307,0.000002,0.875470,0.000000,0.249929,
